,date,I,R,D,C,I_p,C_p
249,2020-10-06,,,,,1186311.255803886,247110.91352204254
250,2020-10-07,,,,,1106034.0209334714,247121.38611638144
251,2020-10-08,,,,,1030407.2019322081,247131.54453289017
252,2020-10-09,,,,,959277.0726279212,247141.39819690364
253,2020-10-10,,,,,892476.0072070444,247150.9562509967
254,2020-10-11,,,,,829826.4649842569,247160.227563467
255,2020-10-12,,,,,771144.4095214786,247169.22073656318
256,2020-10-13,,,,,716242.2120046819,247177.9441144665
257,2020-10-14,,,,,664931.089559477,247186.4057910327
258,2020-10-15,,,,,617023.1283521088,247194.61361730195
259,2020-10-16,,,,,572332.939338787,247202.57520878312
260,2020-10-17,,,,,530678.991762752,247210.29795251985
261,2020-10-18,,,,,491884.6662477853,247217.78901394448
262,2020-10-19,,,,,455779.06582585134,247225.0553435264
263,2020-10-20,,,,,422197.6196368474,247232.10368322083
264,2020-10-21,,,,,390982.5104763905,247238.94057272444
265,2020-10-22,,,,,361982.95393284183,247245.57235554294
266,2020-10-23,,,,,335055.3536079697,247252.00518487688
267,2020-10-24,,,,,310063.35389466706,247258.2450293308
268,2020-10-25,,,,,286877.80901052733,247264.2976784511
269,2020-10-26,,,,,265376.6844653904,247270.1687480978
270,2020-10-27,,,,,245444.90487230773,247275.86368565512
271,2020-10-28,,,,,226974.15998617694,247281.3877750857
272,2020-10-29,,,,,209862.6790595416,247286.74614183334
273,2020-10-30,,,,,194014.98202494087,247291.94375757856
274,2020-10-31,,,,,179341.61463042465,247296.98544485142
275,2020-11-01,,,,,165758.87345157468,247301.8758815061
276,2020-11-02,,,,,153188.52566185943,247306.61960506113
277,2020-11-03,,,,,141557.52754628562,247311.22101690952
278,2020-11-04,,,,,130797.74497488578,247315.68438640246
279,2020-11-05,,,,,120845.678397514,247320.0138548106
280,2020-11-06,,,,,111642.19436583963,247324.2134391665
281,2020-11-07,,,,,103132.26511971277,247328.2870359917
282,2020-11-08,,,,,95264.71738185146,247332.23842491215
283,2020-11-09,,,,,87991.99117688894,247336.071272165
284,2020-11-10,,,,,81269.90921917475,247339.78913400025
285,2020-11-11,,,,,75057.45719035015,247343.39545998047
286,2020-11-12,,,,,69316.57504559148,247346.8935961813
287,2020-11-13,,,,,64011.95934038327,247350.2867882961
288,2020-11-14,,,,,59110.87645239317,247353.57818464746
289,2020-11-15,,,,,54582.98648082329,247356.77083910827
290,2020-11-16,,,,,50400.177534491566,247359.86771393527
291,2020-11-17,,,,,46536.41006639105,247362.87168251746
292,2020-11-18,,,,,42967.57087361538,247365.7855320422
293,2020-11-19,,,,,39671.336354783016,247368.61196608123
294,2020-11-20,,,,,36627.04460027581,247371.35360709907
295,2020-11-21,,,,,33815.57588188732,247374.01299888638
296,2020-11-22,,,,,31219.241106294256,247376.59260892007
297,2020-11-23,,,,,28821.67779980503,247379.09483065276
298,2020-11-24,,,,,26607.75319899671,247381.52198573347
299,2020-11-25,,,,,24563.474032199338,247383.87632616176
300,2020-11-26,,,,,22675.902589553294,247386.1600363772
301,2020-11-27,,,,,20933.078693909978,247388.3752352862
302,2020-11-28,,,,,19323.94720064045,247390.52397822792
303,2020-11-29,,,,,17838.290671027247,247392.6082588814
304,2020-11-30,,,,,16466.666880988018,247394.63001111528
305,2020-12-01,,,,,15200.350844131106,247396.59111078214
306,2020-12-02,,,,,14031.281045344329,247398.493377459
307,2020-12-03,,,,,12952.009598088976,247400.33857613555
308,2020-12-04,,,,,11955.656055171217,247402.1284188518
309,2020-12-05,,,,,11035.864618885833,247403.86456628656
310,2020-12-06,,,,,10186.764511993162,247405.54862929828
311,2020-12-07,,,,,9402.933285942861,247407.18217041966
312,2020-12-08,,,,,8679.362857059607,247408.7667053074
313,2020-12-09,,,,,8011.428075033518,247410.30370414854
314,2020-12-10,,,,,7394.857641001464,247411.79459302442
315,2020-12-11,,,,,6825.707204763788,247413.24075523403
316,2020-12-12,,,,,6300.334482261699,247414.64353257735
317,2020-12-13,,,,,5815.376245356705,247416.00422660037
318,2020-12-14,,,,,5367.7270462229535,247417.3240998027
319,2020-12-15,,,,,4954.5195483076,247418.60437680897
320,2020-12-16,,,,,4573.106344857101,247419.84624550506
321,2020-12-17,,,,,4221.043154474267,247421.05085814025
322,2020-12-18,,,,,3896.0732910886627,247422.2193323964
323,2020-12-19,,,,,3596.1133131186025,247423.35275242486
324,2020-12-20,,,,,3319.2397635039424,247424.45216985248
325,2020-12-21,,,,,3063.6769187221644,247425.51860475726
326,2020-12-22,,,,,2827.785470892485,247426.55304661492
327,2020-12-23,,,,,2610.052072649904,247427.55645521684
328,2020-12-24,,,,,2409.079679658295,247428.5297615607
329,2020-12-25,,,,,2223.5786304531084,247429.47386871424
330,2020-12-26,,,,,2052.3584077831133,247430.38965265316
331,2020-12-27,,,,,1894.320029779074,247431.27796307392
332,2020-12-28,,,,,1748.4490231363336,247432.13962418208
333,2020-12-29,,,,,1613.808934077961,247432.975435457
334,2020-12-30,,,,,1489.5353361843047,247433.78617239365
335,2020-12-31,,,,,1374.8302972512718,247434.5725872222
336,2021-01-01,,,,,1268.957270190243,247435.3354096059
337,2021-01-02,,,,,1171.236375622958,247436.07534731808
338,2021-01-03,,,,,1081.0400462698037,247436.7930868989
339,2021-01-04,,,,,997.7890054935439,247437.4892942923
340,2021-01-05,,,,,920.9485544556084,247438.16461546387
341,2021-01-06,,,,,850.0251442807588,247438.8196770003
342,2021-01-07,,,,,784.5632114195399,247439.45508669066
